,description,slug,published,title,category,featured,image_front,category_title,occasion,recipient,tone,keywords
94,"<p>All teachers deserve something amazing for all the time and effort they put in to helping you
grow. Surprise them with a little self-care gift; a Thyaga Voucher that helps them get everything
they need to refuel and indulge in! <br>
Whether it's some much-needed books and stationery, a wearable and capable watch, or a
sharp pair of eyeglasses, a Thyaga Voucher offers them the finest local and international
offerings, from over 150 Merchants.<br>
Be the reason your teachers smile today. </p>",thank-you-mentor-teacher,1,Teachers' Day,Thank you,0,https://thyaga0323.sirv.com/Images/voucher-products/thank-you/03-front.png,\0,teacher's day,"teacher, mentor","warm, appreciative","teacher, mentor, teachers day, gratitude, appreciation, educator"
135,"<p>Celebrate the arrival of the newest bundle of joy with Thyaga Voucher! Our specially curated collection for newborns offers the perfect gift for the growing family. </br>
Whether it's baby gear or self-care indulgences for tired parents, our vouchers ensure everyone feels appreciated and cared for during this special time. Find the perfect gift to cherish these precious moments together!
Welcome the little one with love and happiness - explore our collection today!</p>",new-born,1,New Born Gift Card,New Born,0,https://thyaga0323.sirv.com/Images/voucher-products/newborn/front-01.png,New arrivals call for thoughtful gifts. We've got you.,new born,"parents, family","warm, celebratory","newborn, baby, new baby, baby shower, parents, new arrival"
169,"<p>Thyaga multi-store gift voucher is the perfect gift for any occasion!</p>
Give your loved ones the gift of choice where they can use this Thyaga voucher to shop at over 150 merchants!",good_job_darkblue,1,Good Job Gift Card,Congratulations,0,https://thyaga0323.sirv.com/Images/voucher-products/good_job/front-01.png,"Whether it's a win or milestone, celebrate in style.",congratulations,anyone,"fun, upbeat","good job, well done, congratulations, achievement, success"
186,"<p> Make their special day even brighter! The Best Wishes Voucher is your go-to gift for any occasion, giving them the freedom to choose what they truly love. Unlimited options, endless smiles and your heartfelt best wishes wrapped in one perfect card.
</p>",bestwishes,1,Wishing the Best Gift Card,Best Wishes,0,https://thyaga0323.sirv.com/Images/voucher-products/bestwishes/front-01.png,Just checking in? Say it better with a voucher.,"general, best wishes",anyone,"warm, neutral","best wishes, any occasion, flexible, good luck, general gift"
215,"Why say I love you"" the ordinary way when you can add a touch of Sri Lankan magic? Blend humor and romance into one irresistible package. Whether it's a cheeky pun or a sweet cultural reference this will bring smiles and memories that last long. Make your gift unforgettable - because love should always come with a laugh!""",154-bus,1,Sri Lankan Pick Up Line Gift Card,Sri Lankan Pickup Lines Series,0,https://thyaga0323.sirv.com/Images/voucher-products/valentines/11-front.png,"Flirt the Lankan way with love, laughs, and gifting.","anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship, husband, wife","flirty, playful, funny","valentine's day, sri lankan, pick up line, humor, romantic, funny, love"
217,"<p>Get ready to sprinkle some birthday magic!<br>
Birthdays are all about love, laughter, and making wishes come true. With a Thyaga Voucher you're not just giving a gift - you're giving them the power to pick their own special surprise!<br>
Add a dash of personal touch with a heartfelt message before you send it off. </p>
",birthday-yellow,1,Birthday Gift Card,Birthday,0,https://thyaga0323.sirv.com/Images/voucher-products/birthday/01-front.png,"Birthdays made better with gifts they actually want, finally.",Birthday,anyone,"fun, upbeat","birthday, surprise, celebrate, birthday magic, birthday gift, bday"
218,"<p>Get ready to sprinkle some birthday magic!<br>
Birthdays are all about love, laughter, and making wishes come true. With a Thyaga Voucher you're not just giving a gift - you're giving them the power to pick their own special surprise!<br>
Add a dash of personal touch with a heartfelt message before you send it off. </p>
",birthday-pink,1,Birthday Gift Card,Birthday,0,https://thyaga0323.sirv.com/Images/voucher-products/birthday/03-front.png,"Birthdays made better with gifts they actually want, finally.",Birthday,anyone,"fun, upbeat","birthday, surprise, celebrate, birthday magic, birthday gift, bday"
219,"<p>Get ready to sprinkle some birthday magic!<br>
Birthdays are all about love, laughter, and making wishes come true. With a Thyaga Voucher you're not just giving a gift - you're giving them the power to pick their own special surprise!<br>
Add a dash of personal touch with a heartfelt message before you send it off. </p>
",birthday-purple,1,Birthday Gift Card,Birthday,0,https://thyaga0323.sirv.com/Images/voucher-products/birthday/02-front.png,"Birthdays made better with gifts they actually want, finally.",Birthday,anyone,"fun, upbeat","birthday, surprise, celebrate, birthday magic, birthday gift, bday"
221,"<p>Get ready to sprinkle some birthday magic!<br>
Birthdays are all about love, laughter, and making wishes come true. With a Thyaga Voucher you're not just giving a gift - you're giving them the power to pick their own special surprise!<br>
Add a dash of personal touch with a heartfelt message before you send it off. </p>
",birthday-mom,1,Birthday Gift Card,Birthday,0,https://thyaga0323.sirv.com/Images/voucher-products/birthday/hbd-mom-01-front.png,"Birthdays made better with gifts they actually want, finally.",Birthday,"mom, mother","fun, upbeat","birthday, mom, mother, happy birthday mom, celebrate mom, bday"
222,"<p> Get ready to celebrate in style with Thyaga Voucher's ""Congratulations"" gift voucher! <br>
Whether they aced that exam, nailed that presentation, or reached a major milestone, this card is the perfect way to say congratulations! <br> 
Let them choose their own reward from our fantastic selection, ensuring their success is celebrated with a touch of fun and flair. 
Here's to cheering on their achievements and spreading the joy together!
</p>",congrats-02,1,Congratulations Gift Card,Congratulations,0,https://thyaga0323.sirv.com/Images/voucher-products/congratulations/low-res-01-front.png,"Whether it's a win or milestone, celebrate in style.",congratulations,anyone,"fun, upbeat","congratulations, achievement, milestone, success, well done, celebrate"
224,"<p>Moving up the academic ladder deserves special praise from loved ones, and we've got just the
gift for the occasion! <br>
Celebrate their hard work and commitment - by letting them shop for everything they've
secretly wanted for a while! From novelty books to collectibles and fashion, nothing screams
I'm Proud Of You"" more than a gift that shows how much you care about them.</p>""",graduation- smartypants,1,Graduation Gift Card,Congratulations,0,https://thyaga0323.sirv.com/Images/voucher-products/graduation/02-front.png,"Whether it's a win or milestone, celebrate in style.",graduation,"student, graduate","proud, upbeat","graduation, academic, achievement, smartypants, proud, exam, milestone"
228,"<p>Moving up the academic ladder deserves special praise from loved ones, and we've got just the
gift for the occasion! <br>
Celebrate their hard work and commitment - by letting them shop for everything they've
secretly wanted for a while! From novelty books to collectibles and fashion, nothing screams
I'm Proud Of You"" more than a gift that shows how much you care about them.</p>""",graduation- 3,1,Graduation Gift Card,Congratulations,0,https://thyaga0323.sirv.com/Images/voucher-products/graduation/01-front.png,"Whether it's a win or milestone, celebrate in style.",graduation,"student, graduate","proud, upbeat","graduation, academic, achievement, milestone, proud, hard work, cute"
229,"<p>Saying goodbye is never easy, but with Thyaga Voucher, you can make it memorable! </br>
Explore our farewell collection and give the gift of choice to your departing colleague or friend. 
From heartfelt messages to customise themes, our vouchers offer the perfect way to send them off with love and appreciation. Browse now and make their farewell truly special!</p>",farewell-2,1,Farewell Gift Card,Farewell,0,https://thyaga0323.sirv.com/Images/voucher-products/farewell/02-front.png,"Parting is sweet, especially with a thoughtful Thyaga voucher.",farewell,"colleague, friend, co worker","warm, sentimental","farewell, goodbye, leaving, departure, colleague, going away, co worker"
231,"<p>Saying goodbye is never easy, but with Thyaga Voucher, you can make it memorable! </br>
Explore our farewell collection and give the gift of choice to your departing colleague or friend. 
From heartfelt messages to customise themes, our vouchers offer the perfect way to send them off with love and appreciation. Browse now and make their farewell truly special!</p>",farewell-3,1,Farewell Gift Card,Farewell,0,https://thyaga0323.sirv.com/Images/voucher-products/farewell/03-front.png,"Parting is sweet, especially with a thoughtful Thyaga voucher.",farewell,"colleague, friend, co worker","warm, sentimental","farewell, goodbye, leaving, departure, colleague, going away, co worker"
236,For the one who drives your heart crazy! This fun and quirky voucher says it all. Give them the freedom to choose and make your love ride extra special!,tuk-tuk,1,Lovebird Gift Card,Lovebirds,0,https://thyaga0323.sirv.com/Images/voucher-products/valentines/03-front.png,"For soulmates, situationships, or spicy just because"" surprises.""","anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship, husband, wife","romantic, flirty, playful, funny, humorous","love, tuk-tuk, quirky, fun, couple, romantic, lovebirds, valentine's day, sri lankan, pick up line, humor, funny"
238,"<p>Paw-sitively adorable! This voucher is perfect for the one who makes your heart wag with joy. Gift them choice, love, and a little bit of spotted magic!</p>",special-spot,1,Lovebird Gift Card,Lovebirds,0,https://thyaga0323.sirv.com/Images/voucher-products/valentines/04-front.png,"For soulmates, situationships, or spicy just because"" surprises.""","anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship, husband, wife","romantic, warm","love, cute, adorable, couple, lovebirds, romantic, dogs"
246,"Why say I love you"" the ordinary way when you can add a touch of Sri Lankan magic? Blend humor and romance into one irresistible package. Whether it's a cheeky pun or a sweet cultural reference this will bring smiles and memories that last long. Make your gift unforgettable - because love should always come with a laugh!""",tuk,1,Sri Lankan Pick Up Line Gift Card,Sri Lankan Pickup Lines Series,0,https://thyaga0323.sirv.com/Images/voucher-products/valentines/07-front.png,"Flirt the Lankan way with love, laughs, and gifting.","anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship, husband, wife","flirty, playful, funny","sri lankan, pick up line, tuk tuk, humor, romantic, funny, love"
247,"Why say I love you"" the ordinary way when you can add a touch of Sri Lankan magic? Blend humor and romance into one irresistible package. Whether it's a cheeky pun or a sweet cultural reference this will bring smiles and memories that last long. Make your gift unforgettable - because love should always come with a laugh!""",tikiriliya,1,Sri Lankan Pick Up Line Gift Card,Sri Lankan Pickup Lines Series,0,https://thyaga0323.sirv.com/Images/voucher-products/valentines/08-front.png,"Flirt the Lankan way with love, laughs, and gifting.","anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship, husband, wife","flirty, playful, funny","sri lankan, pick up line, tikiriliya, humor, romantic, funny, love"
249,"Why say I love you"" the ordinary way when you can add a touch of Sri Lankan magic? Blend humor and romance into one irresistible package. Whether it's a cheeky pun or a sweet cultural reference this will bring smiles and memories that last long. Make your gift unforgettable - because love should always come with a laugh!""",cheese-kottu,1,Sri Lankan Pick Up Line Gift Card,Sri Lankan Pickup Lines Series,0,https://thyaga0323.sirv.com/Images/voucher-products/valentines/09-front.png,"Flirt the Lankan way with love, laughs, and gifting.","anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship, husband, wife","flirty, playful, funny","sri lankan, pick up line, kottu, food humor, romantic, funny"
250,"Why say I love you"" the ordinary way when you can add a touch of Sri Lankan magic? Blend humor and romance into one irresistible package. Whether it's a cheeky pun or a sweet cultural reference this will bring smiles and memories that last long. Make your gift unforgettable - because love should always come with a laugh!""",ala-to-my-maalu,1,Sri Lankan Pick Up Line Gift Card,Sri Lankan Pickup Lines Series,0,https://thyaga0323.sirv.com/Images/voucher-products/valentines/10-front.png,"Flirt the Lankan way with love, laughs, and gifting.","anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship, husband, wife","flirty, playful, funny","sri lankan, pick up line, ala maalu, food humor, romantic, funny"
252,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-roses,1,Wedding Gift Card,Weddings,0,https://thyaga0323.sirv.com/Images/voucher-products/wedding/02-front.png,Celebrate their forever with a gift that keeps giving.,wedding,"couple, newlyweds","warm, romantic","wedding, marriage, newlyweds, love, roses, couple, celebration"
255,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-married&shit,1,Wedding Gift Card,Weddings,0,https://thyaga0323.sirv.com/Images/voucher-products/wedding/03-front.png,Celebrate their forever with a gift that keeps giving.,wedding,"couple, newlyweds","funny, playful","wedding, marriage, funny, humorous, couple, celebration"
256,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-poruwa,1,Wedding Gift Card,Weddings,0,https://thyaga0323.sirv.com/Images/voucher-products/wedding/05-front.png,Celebrate their forever with a gift that keeps giving.,wedding,"couple, newlyweds","warm, cultural","wedding, poruwa, traditional, sri lankan wedding, marriage, cultural"
257,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-pink,1,Wedding Gift Card,Weddings,0,https://thyaga0323.sirv.com/Images/voucher-products/wedding/07-front.png,Celebrate their forever with a gift that keeps giving.,wedding,"couple, newlyweds","warm, romantic","wedding, marriage, newlyweds, love, pink, couple, celebration"
258,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-sorry,1,Wedding Gift Card,Weddings,0,https://thyaga0323.sirv.com/Images/voucher-products/wedding/04-front.png,Celebrate their forever with a gift that keeps giving.,wedding,"couple, newlyweds","funny, playful","wedding, marriage, funny, humorous, couple, sorry, quirky"
259,Because some words carry the weight of your heart. A timeless token of love that turns into countless choices for your special someone!,adarei,1,Lovebird Gift Card,Lovebirds,0,https://thyaga0323.sirv.com/Images/voucher-products/valentines/12-front.png,"For soulmates, situationships, or spicy just because"" surprises.""","anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship, husband, wife","romantic, heartfelt, emotional","love, adarei, sinhala, sri lankan, romantic, heartfelt, lovebirds"
262,"<p>Express your gratitude with Thyaga Voucher! Saying thank you has never been easier with the gift of choice. </br>
Whether it's for a kind gesture, a helping hand, or simply being there, our vouchers offer a world of possibilities to show your appreciation. 
Let them choose their own reward, from indulgent treats to unforgettable experiences. With Thyaga Voucher, you can say thank you in the most meaningful way possible. </p>

",superstar,1,Thank You Gift Card,Thank you,0,https://thyaga0323.sirv.com/Images/voucher-products/thank-you/02-front.png,"A small card that says big, heartfelt thanks, stylishly.",thank you,anyone,"warm, upbeat","thank you, superstar, gratitude, appreciation, thankful, grateful"
263,"<p>Express your gratitude with Thyaga Voucher! Saying thank you has never been easier with the gift of choice. </br>
Whether it's for a kind gesture, a helping hand, or simply being there, our vouchers offer a world of possibilities to show your appreciation. 
Let them choose their own reward, from indulgent treats to unforgettable experiences. With Thyaga Voucher, you can say thank you in the most meaningful way possible. </p>

",heartfelt,1,Thank You Gift Card,Thank you,0,https://thyaga0323.sirv.com/Images/voucher-products/thank-you/04-front.png,"A small card that says big, heartfelt thanks, stylishly.",thank you,anyone,"warm, sincere","thank you, heartfelt, gratitude, appreciation, grateful, sincere"
265,"<p> Sometimes words aren't enough. Send Warm Wishes that turn into something they'll actually use! From dining delights to fashion finds, this voucher keeps the warmth alive. Gifting made easy, exciting, and full of love.
</p>",warmwishes,1,Wishing the Best Gift Card,Best Wishes,0,https://thyaga0323.sirv.com/Images/voucher-products/christmas/2023/7%20Front.png,Just checking in? Say it better with a voucher.,"general, best wishes",anyone,"warm, sincere","warm wishes, best wishes, any occasion, flexible, thoughtful gift"
266,"<p>Celebrating strength, grace, and brilliance, this special edition Thyaga voucher feels warm, modern, and full of appreciation. Simple and elegant with a cheerful touch, it's the perfect way to say you deserve this"" and let her choose what she truly loves.</p>""",for-her-purple,1,For Her,For Her,0,https://thyaga0323.sirv.com/Images/voucher-products/iwd-2022/for-her-01-front.png,"From pampering to power moves, she'll love this pick.","general, women's day","woman, female, girl","empowering, warm","for her, women, girl, boss lady, appreciation, strong, stylish"
271,"<p>Celebrating strength, grace, and brilliance, this special edition Thyaga voucher feels warm, modern, and full of appreciation. Simple and elegant with a cheerful touch, it's the perfect way to say you deserve this"" and let her choose what she truly loves.</p>""",for-her-light_pink,1,For Her,For Her,0,https://thyaga0323.sirv.com/Images/voucher-products/iwd-2022/for-her-03-front.png,"From pampering to power moves, she'll love this pick.","general, women's day","woman, female, girl","empowering, warm","for her, women, girl, appreciation, strong, stylish, empowerment"
272,"<p>Celebrating strength, grace, and brilliance, this special edition Thyaga voucher feels warm, modern, and full of appreciation. Simple and elegant with a cheerful touch, it's the perfect way to say you deserve this"" and let her choose what she truly loves.</p>""",for-her-red,1,For Her,For Her,0,https://thyaga0323.sirv.com/Images/voucher-products/iwd-2022/for-her-02-front.png,"From pampering to power moves, she'll love this pick.","general, women's day","woman, female, girl","empowering, warm","for her, women, girl, appreciation, strong, stylish, red"
441,"<p>Thyaga multi-store gift voucher is the perfect gift for any occasion!</p>
<p>This Pride Month, embrace the freedom of choice with Thyaga.
Let those who inspire you, celebrate their uniqueness. With a diverse selection of over 140 merchants spanning 20 categories, Thyaga offers the perfect gift tailored to their individuality.
Show your appreciation with a Thyaga voucher, allowing them to choose what resonates with their authentic selves.</p>",pride,1,Pride Gift Card,Pride Month,0,https://thyaga0323.sirv.com/Images/voucher-products/pride/front-01.png,\0,pride month,"gay. Lgbtq, anyone","celebratory, inclusive","pride, lgbtq, pride month, diversity, inclusion, rainbow, celebrate"
452,"<p>Celebrate the arrival of the newest bundle of joy with Thyaga Voucher! Our specially curated collection for newborns offers the perfect gift for the growing family. </br>
Whether it's baby gear or self-care indulgences for tired parents, our vouchers ensure everyone feels appreciated and cared for during this special time. Find the perfect gift to cherish these precious moments together!
Welcome the little one with love and happiness - explore our collection today!</p>",new-born-girl,1,New Born Gift Card,New Born,0,https://thyaga0323.sirv.com/Images/voucher-products/newborn/front-02.png,New arrivals call for thoughtful gifts. We've got you.,new born,"parents, family, baby girl","warm, celebratory","newborn, baby girl, new baby, baby shower, parents, new arrival, girl"
453,"<p>Celebrate the arrival of the newest bundle of joy with Thyaga Voucher! Our specially curated collection for newborns offers the perfect gift for the growing family. </br>
Whether it's baby gear or self-care indulgences for tired parents, our vouchers ensure everyone feels appreciated and cared for during this special time. Find the perfect gift to cherish these precious moments together!
Welcome the little one with love and happiness - explore our collection today!</p>",new-born-boy,1,New Born Gift Card,New Born,0,https://thyaga0323.sirv.com/Images/voucher-products/newborn/front-03.png,New arrivals call for thoughtful gifts. We've got you.,new born,"parents, family, baby boy","warm, celebratory","newborn, baby boy, new baby, baby shower, parents, new arrival, boy"
477,"<p>Thyaga multi-store gift voucher is the perfect gift for any occasion!</p>
Give your loved ones the gift of choice where they can use this Thyaga voucher to shop at over 150 merchants!",ctc,1,CTC Gift Card,Congratulations,0,https://thyaga0323.sirv.com/Images/voucher-products/congratulations/front-02.png,\0,congratulations,anyone,"fun, upbeat","congratulations, achievement, milestone, success, well done"
480,"<p>Say it your way with love, laughter and a touch of charm! These romantic vouchers are the sweetest way to turn feelings into unforgettable surprises!</p>",oya-mage,1,Lovebird Gift Card,Lovebirds,0,https://thyaga0323.sirv.com/Images/voucher-products/valentines/14-front.png,"For soulmates, situationships, or spicy just because"" surprises.""","anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship, husband, wife","romantic, funny, playful","love, oya mage, sinhala, sri lankan, funny, couple, lovebirds"
483,"<p>Say it your way with love, laughter and a touch of charm! These romantic vouchers are the sweetest way to turn feelings into unforgettable surprises!</p>",kiss,1,Lovebird Gift Card,Lovebirds,0,https://thyaga0323.sirv.com/Images/voucher-products/valentines/17-front.png,"For soulmates, situationships, or spicy just because"" surprises.""","anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship, husband, wife","romantic, playful","love, kiss, romantic, lovebirds, sweet, couple"
484,"<p>Say it your way with love, laughter and a touch of charm! These romantic vouchers are the sweetest way to turn feelings into unforgettable surprises!</p>",haa-patiya,1,Lovebird Gift Card,Lovebirds,0,https://thyaga0323.sirv.com/Images/voucher-products/valentines/18-front.png,"For soulmates, situationships, or spicy just because"" surprises.""","anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship, husband, wife","romantic, flirty, playful, funny, humorous","love, haa patiya, sinhala, sri lankan, funny, lovebirds, humor"
488,"<p>Celebrating strength, grace, and brilliance, this special edition Thyaga voucher feels warm, modern, and full of appreciation. Simple and elegant with a cheerful touch, it's the perfect way to say you deserve this"" and let her choose what she truly loves.</p>""",for-her-power,1,For Her,For Her,0,https://thyaga0323.sirv.com/Images/voucher-products/womensday/front-01.png,"From pampering to power moves, she'll love this pick.",Women's day,"woman, female, girl","empowering, bold","for her, women, girl, boss lady, power, strong, appreciation"
492,"<p>Celebrate with Choice! This Avurudu, give the gift of options! Our colorful voucher is the key to a celebration filled with choices - shopping, dining, and beyond. It's a fun, flexible way to ensure everyone finds their perfect piece of the festival joy.</p>
",avurudu-red-2025,1,Sinhala & Tamil Avurudu Gift Card,Avurudu1,0,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/avurudu-red-25-front.png,"Celebrate Avurudu with joy, color, tradition and perfect gifts!","Sinhala and Tamil New Year, Avurudu",anyone,"fun, festive","avurudu, sinhala new year, tamil new year, sri lankan, festive, celebrate, red"
493,"<p>Celebrate with Choice! This Avurudu, give the gift of options! Our colorful voucher is the key to a celebration filled with choices - shopping, dining, and beyond. It's a fun, flexible way to ensure everyone finds their perfect piece of the festival joy.</p>
",avurudu-green-2025,1,Sinhala & Tamil Avurudu Gift Card,Avurudu1,0,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/avurudu-green-25-front.png,"Celebrate Avurudu with joy, color, tradition and perfect gifts!","Sinhala and Tamil New Year, Avurudu",anyone,"fun, festive","avurudu, sinhala new year, tamil new year, sri lankan, festive, celebrate, green"
494,"<p>Celebrate with Choice! This Avurudu, give the gift of options! Our colorful voucher is the key to a celebration filled with choices - shopping, dining, and beyond. It's a fun, flexible way to ensure everyone finds their perfect piece of the festival joy.</p>
",avurudu-couple-2025,1,Sinhala & Tamil Avurudu Gift Card,Avurudu1,0,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/avurudu-orange-25-front.png,"Celebrate Avurudu with joy, color, tradition and perfect gifts!","Sinhala and Tamil New Year, Avurudu",anyone,"fun, festive","avurudu, sinhala new year, couple, sri lankan, festive, celebrate"
495,"<p>Celebrate with Choice! This Avurudu, give the gift of options! Our colorful voucher is the key to a celebration filled with choices - shopping, dining, and beyond. It's a fun, flexible way to ensure everyone finds their perfect piece of the festival joy.</p>
",avurudu-family-2025,1,Sinhala & Tamil Avurudu Gift Card,"Avurudu, Made for Home",0,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/avurudu-family-25-front.png,A thoughtful way to celebrate with your closest and dearest.,"Sinhala and Tamil New Year, Avurudu",anyone,"fun, festive","avurudu, sinhala new year, family, sri lankan, festive, celebrate"
